"","Dataset","Method","Metric","Testing_Proportion","Mean","SD"
"228","Maize","Transfer","NRMSE",0.5,17.6562856935974,156.665611063059
"229","Maize","Transfer","NRMSE",0.75,21.6090619348073,195.761742900052
"230","Maize","Transfer","NRMSE",0.8,2.34651465698692,214.154603374298
"231","Maize","Transfer","PM_10",0.15,23,10.4602275861169
"232","Maize","Transfer","PM_10",0.3,22.0904761904762,9.46636506599656
"233","Maize","Transfer","PM_10",0.5,22.036507936508,7.90964053718504
"234","Maize","Transfer","PM_10",0.75,22.5571428571429,7.06971642650621
"235","Maize","Transfer","PM_10",0.8,22.6960206070732,6.47650529840932
"236","Maize","Transfer","PM_20",0.15,36.6666666666667,8.07352260551367
"237","Maize","Transfer","PM_20",0.3,36.2358803986711,7.27773165511775
"238","Maize","Transfer","PM_20",0.5,34.82185923465,6.12182170206794
"239","Maize","Transfer","PM_20",0.75,34.1032284360773,5.49459412504705
"240","Maize","Transfer","PM_20",0.8,33.4835643400153,5.12885917167617
"241","Wheat_1","GBLUP","COR",0.15,0.451416925248122,0.0664118948950538
"242","Wheat_1","GBLUP","COR",0.3,0.444903203833391,0.0509742679639312
"243","Wheat_1","GBLUP","COR",0.5,0.436972858694002,0.0463318000372922
"244","Wheat_1","GBLUP","COR",0.75,0.417173770221498,0.0540217278249985
"245","Wheat_1","GBLUP","COR",0.8,0.399188147840714,0.0634303370073356
"246","Wheat_1","GBLUP","NRMSE",0.15,0.0516742784552459,0.00201670149630223
"247","Wheat_1","GBLUP","NRMSE",0.3,0.0521615034590294,0.00225136841863449
"248","Wheat_1","GBLUP","NRMSE",0.5,0.0524015500204355,0.00197817776765093
"249","Wheat_1","GBLUP","NRMSE",0.75,0.0529574053994904,0.00203738357522995
"250","Wheat_1","GBLUP","NRMSE",0.8,0.0535211164745607,0.0022072392553083
"251","Wheat_1","GBLUP","PM_10",0.15,34.2105263157895,10.3046843197112
"252","Wheat_1","GBLUP","PM_10",0.3,33.0026990553306,7.76387172806689
"253","Wheat_1","GBLUP","PM_10",0.5,32.6684660368871,6.52908463155523
"254","Wheat_1","GBLUP","PM_10",0.75,31.8467103524076,5.96103741018883
"255","Wheat_1","GBLUP","PM_10",0.8,31.1312144357722,5.72334193063091
"256","Wheat_1","GBLUP","PM_20",0.15,36.6666666666667,4.84246682879155
"257","Wheat_1","GBLUP","PM_20",0.3,36.0897435897436,3.63274323610897
"258","Wheat_1","GBLUP","PM_20",0.5,36.3418803418803,3.76057658663564
"259","Wheat_1","GBLUP","PM_20",0.75,35.9102564102564,3.50224440540396
"260","Wheat_1","GBLUP","PM_20",0.8,35.4589743589744,3.38133160755812
"261","Wheat_1","Transfer","COR",0.15,0.451491201005892,0.0637006131250071
"262","Wheat_1","Transfer","COR",0.3,0.447468031404097,0.0496446240588974
"263","Wheat_1","Transfer","COR",0.5,0.438052421946204,0.0465060843607568
"264","Wheat_1","Transfer","COR",0.75,0.417797049945555,0.054903963384613
"265","Wheat_1","Transfer","COR",0.8,0.39889843131653,0.0658456022693731
"266","Wheat_1","Transfer","NRMSE",0.15,0.0516880891623637,0.00217405654562928
"267","Wheat_1","Transfer","NRMSE",0.3,0.052094719502602,0.00230871475980159
"268","Wheat_1","Transfer","NRMSE",0.5,0.0523898352533969,0.0020263917285821
"269","Wheat_1","Transfer","NRMSE",0.75,0.0529845210405779,0.0021069289886312
"270","Wheat_1","Transfer","NRMSE",0.8,0.0535575126588576,0.00228062267806718
"271","Wheat_1","Transfer","PM_10",0.15,33.1578947368421,9.62516963111944
"272","Wheat_1","Transfer","PM_10",0.3,32.7327935222672,7.43543077781668
"273","Wheat_1","Transfer","PM_10",0.5,32.5398110661269,6.32164783524849
"274","Wheat_1","Transfer","PM_10",0.75,32.1368170624817,5.69654148283316
"275","Wheat_1","Transfer","PM_10",0.8,31.5171459576777,5.64944449865321
"276","Wheat_1","Transfer","PM_20",0.15,36.6666666666667,4.99104318654921
"277","Wheat_1","Transfer","PM_20",0.3,36.3461538461538,3.81850158547594
"278","Wheat_1","Transfer","PM_20",0.5,36.6410256410256,3.78845611522888
"279","Wheat_1","Transfer","PM_20",0.75,36.1602564102564,3.60028858811335
"280","Wheat_1","Transfer","PM_20",0.8,35.7070512820513,3.47320437879758
"281","Wheat_2","GBLUP","COR",0.15,0.189044823719702,0.0432162229269533
"282","Wheat_2","GBLUP","COR",0.3,0.168914814641285,0.0465714267777737
"283","Wheat_2","GBLUP","COR",0.5,0.162706254820286,0.0398003602108621
"284","Wheat_2","GBLUP","COR",0.75,0.150385579457503,0.0427974736162774
"285","Wheat_2","GBLUP","COR",0.8,0.139151014379473,0.0456321785910403
"286","Wheat_2","GBLUP","NRMSE",0.15,0.0441316849799751,0.00233632108711313
"287","Wheat_2","GBLUP","NRMSE",0.3,0.0444078257372212,0.00184413977590728
"288","Wheat_2","GBLUP","NRMSE",0.5,0.0445555238582682,0.00168071655621429
"289","Wheat_2","GBLUP","NRMSE",0.75,0.0446606053271977,0.00148107857367265
"290","Wheat_2","GBLUP","NRMSE",0.8,0.0447477450734998,0.00134702204256113
"291","Wheat_2","GBLUP","PM_10",0.15,20,12.0185042515466
"292","Wheat_2","GBLUP","PM_10",0.3,18.75,8.94059341018905
"293","Wheat_2","GBLUP","PM_10",0.5,18.5606060606061,7.52072487742986
"294","Wheat_2","GBLUP","PM_10",0.75,17.5704545454545,6.87307228084784
"295","Wheat_2","GBLUP","PM_10",0.8,16.6731860662702,6.51834680872938
"296","Wheat_2","GBLUP","PM_20",0.15,31.5,5.55277708298589
"297","Wheat_2","GBLUP","PM_20",0.3,31.5,4.50876339681082
"298","Wheat_2","GBLUP","PM_20",0.5,31.0250626566416,4.2879147580322
"299","Wheat_2","GBLUP","PM_20",0.75,29.7437969924812,4.54069118326977
"300","Wheat_2","GBLUP","PM_20",0.8,28.9726076874429,4.42483441495418
"301","Wheat_2","Transfer","COR",0.15,0.188091185904314,0.0486216664667983
"302","Wheat_2","Transfer","COR",0.3,0.170593737339705,0.0509025267393377
"303","Wheat_2","Transfer","COR",0.5,0.162965156098334,0.0442491029226772
"304","Wheat_2","Transfer","COR",0.75,0.150253508659562,0.0466551490227798
"305","Wheat_2","Transfer","COR",0.8,0.139282683980624,0.048673983465366
"306","Wheat_2","Transfer","NRMSE",0.15,0.0441800495295939,0.00228899752741277
"307","Wheat_2","Transfer","NRMSE",0.3,0.0444083438513521,0.00181308255636495
"308","Wheat_2","Transfer","NRMSE",0.5,0.0445662784862838,0.00167809818077229
"309","Wheat_2","Transfer","NRMSE",0.75,0.044679240034322,0.00148012462088016
"310","Wheat_2","Transfer","NRMSE",0.8,0.0447708144801226,0.00134616351335054
"311","Wheat_2","Transfer","PM_10",0.15,18.5,10.5540934659917
"312","Wheat_2","Transfer","PM_10",0.3,18.125,8.38525491562421
"313","Wheat_2","Transfer","PM_10",0.5,17.8914141414141,7.01622523422456
"314","Wheat_2","Transfer","PM_10",0.75,17.2435606060606,6.27175349458377
"315","Wheat_2","Transfer","PM_10",0.8,16.6359699801756,5.97748946286474
"316","Wheat_2","Transfer","PM_20",0.15,33.5,4.11636301174282
"317","Wheat_2","Transfer","PM_20",0.3,32.6875,3.58806042752612
"318","Wheat_2","Transfer","PM_20",0.5,31.5661027568922,3.7049634320244
"319","Wheat_2","Transfer","PM_20",0.75,30.0120770676692,4.3201981438365
"320","Wheat_2","Transfer","PM_20",0.8,29.1685401588082,4.36258394831612
"321","Wheat_3","GBLUP","COR",0.15,0.0730706736611188,0.0718347983066254
"322","Wheat_3","GBLUP","COR",0.3,0.0745441548573433,0.0621120878126564
"323","Wheat_3","GBLUP","COR",0.5,0.0728851162631455,0.0539253007391565
"324","Wheat_3","GBLUP","COR",0.75,0.061050038884422,0.052825577864018
"325","Wheat_3","GBLUP","COR",0.8,0.0556215237740915,0.0503621260701742
"326","Wheat_3","GBLUP","NRMSE",0.15,0.0389104784445488,0.00265044125480389
"327","Wheat_3","GBLUP","NRMSE",0.3,0.0387002588823127,0.00193888431378993
"328","Wheat_3","GBLUP","NRMSE",0.5,0.0385126841427986,0.00162996671749955
"329","Wheat_3","GBLUP","NRMSE",0.75,0.0385279981259304,0.00142571340461177
"330","Wheat_3","GBLUP","NRMSE",0.8,0.038463472273832,0.00129322288758253
"331","Wheat_3","GBLUP","PM_10",0.15,15.8823529411765,6.82059887487298
"332","Wheat_3","GBLUP","PM_10",0.3,15.2941176470588,6.08026204996532
"333","Wheat_3","GBLUP","PM_10",0.5,15.4834347532116,5.64269366304693
"334","Wheat_3","GBLUP","PM_10",0.75,14.5148749154834,5.39441546363497
"335","Wheat_3","GBLUP","PM_10",0.8,13.785812975865,5.19791654798006
"336","Wheat_3","GBLUP","PM_20",0.15,27.4285714285714,6.20145546518084
"337","Wheat_3","GBLUP","PM_20",0.3,25.9606625258799,5.40437964205717
"338","Wheat_3","GBLUP","PM_20",0.5,25.2668784655291,4.75335526198894
"339","Wheat_3","GBLUP","PM_20",0.75,24.3955611479974,4.6018626104329
"340","Wheat_3","GBLUP","PM_20",0.8,23.624557026506,4.47714712535565
"341","Wheat_3","Transfer","COR",0.15,0.0666345844694165,0.0612738795081989
"342","Wheat_3","Transfer","COR",0.3,0.069177495428049,0.0532992418701306
"343","Wheat_3","Transfer","COR",0.5,0.060542868313423,0.0493428124592173
"344","Wheat_3","Transfer","COR",0.75,0.0490018530943135,0.0476742492424873
"345","Wheat_3","Transfer","COR",0.8,0.0426581000713456,0.0455295286050104
"346","Wheat_3","Transfer","NRMSE",0.15,0.038909647301906,0.00260693080644211
"347","Wheat_3","Transfer","NRMSE",0.3,0.0386973241610831,0.0019196146609746
"348","Wheat_3","Transfer","NRMSE",0.5,0.0385247814621763,0.00161396831447525
"349","Wheat_3","Transfer","NRMSE",0.75,0.0385393581929419,0.00140803603086605
"350","Wheat_3","Transfer","NRMSE",0.8,0.0384806613478134,0.00127488141628013
